Date,Change_gas,Change_power,Change_eua,Price_Gas,Price_Power,Price_Eua
2018-01-23,-0.018600000000000002,-0.1703,0.0279,18.2,30.45,9.57
2018-01-24,-0.02252747252747256,-0.01806239737274218,0.047021943573667624,17.79,29.9,10.02
2018-01-25,-0.0005621135469363603,-0.019397993311036754,-0.019960079840319334,17.78,29.32,9.82
2018-01-26,0.0,0.003751705320600207,-0.015274949083503131,17.78,29.43,9.67
2018-01-29,-0.021653543307086687,0.003737682636765216,-0.009307135470527417,17.395,29.54,9.58
2018-01-30,0.0008623167576891078,-0.0027081922816519777,-0.012526096033402823,17.41,29.46,9.46
2018-01-31,0.026995979322228525,0.37983706720977595,0.04122621564482021,17.88,40.65,9.85
2018-02-01,0.015100671140939603,0.06691266912669125,0.0,18.15,43.37,9.85
2018-02-02,0.000550964187327807,-0.01936822688494344,-0.03248730964467006,18.16,42.53,9.53
2018-02-05,-0.03138766519823788,-0.05337408887843886,0.010493179433368471,17.59,40.26,9.63
2018-02-06,0.01648664013644119,-0.01962245404868357,-0.028037383177570208,17.88,39.47,9.36
2018-02-07,0.015380313199105267,0.0007600709399544492,0.021367521367521514,18.155,39.5,9.56
2018-02-08,-0.022858716606995455,-0.03139240506329122,0.013598326359832491,17.74,38.26,9.69
2018-02-09,0.00901916572717032,-0.001568217459487542,0.01031991744066052,17.9,38.2,9.79
2018-02-12,0.0027932960893854997,-0.002356020942408499,0.026557711950970564,17.95,38.11,10.05
2018-02-13,0.01977715877437336,0.011545526108632798,0.04676616915422871,18.305,38.55,10.52
2018-02-14,-0.012564872985523112,0.0007782101167315147,-0.02851711026615955,18.075,38.58,10.22
2018-02-15,-0.01576763485477184,0.004665629860031162,-0.005870841487279899,17.79,38.76,10.16
2018-02-16,0.021079258010118007,0.0023219814241486336,-0.0029527559055116948,18.165,38.85,10.13
2018-02-20,0.08835672997522703,0.015186615186615127,0.02073050345508376,19.77,39.44,10.34
2018-02-21,0.0005058168942844166,0.021805273833671368,-0.015473887814313358,19.78,40.3,10.18
2018-02-22,0.008088978766430666,0.017617866004962845,0.015717092337917515,19.94,41.01,10.34
2018-02-23,0.023570712136409266,0.005608388198000691,0.008704061895551174,20.41,41.24,10.43
2018-02-26,-0.08427241548260656,-0.02521823472356932,-0.017257909875359467,18.69,40.2,10.25
2018-02-27,0.027019796682717923,-0.0019900497512439497,0.050731707317073216,19.195,40.12,10.77
2018-02-28,-0.09611878093253445,-0.09571286141575264,-0.003714020427112219,17.35,36.28,10.73
2018-03-01,0.012103746397694293,-0.008269018743109258,-0.010251630941286227,17.56,35.98,10.62
2018-03-02,0.01395216400911159,0.004168982768204765,0.01412429378531077,17.805,36.13,10.77
2018-03-05,-0.016287559674248775,-0.05840022142264045,0.020427112349117982,17.515,34.02,10.99
2018-03-06,0.010562375107050936,0.005584950029394298,0.010009099181073733,17.7,34.21,11.1
2018-03-07,0.007344632768361503,-0.004092370651856192,0.015315315315315381,17.83,34.07,11.27
2018-03-08,0.027201346045990116,0.01320810096859426,0.042590949423247704,18.315,34.52,11.75
2018-03-09,0.03412503412503409,0.024913093858632607,0.0034042553191488967,18.94,35.38,11.79
2018-03-12,0.04065469904963037,-0.008479366873940242,-0.0025445292620864812,19.71,35.08,11.76
2018-03-13,-0.0124302384576358,0.004561003420752607,0.029761904761904656,19.465,35.24,12.11
2018-03-14,-0.04366812227074246,-0.050227014755959254,-0.02642444260941368,18.615,33.47,11.79
2018-03-15,0.009938221864088215,0.010755900806692642,-0.004240882103477395,18.8,33.83,11.74
2018-03-16,-0.007712765957446743,0.000886786875554213,-0.0008517887563883608,18.655,33.86,11.73
2018-03-19,0.002412221924416924,0.03455404607206147,-0.009377664109121997,18.7,35.03,11.62
2018-03-20,0.025401069518716568,0.014844419069369064,0.04216867469879526,19.175,35.55,12.11
2018-03-21,0.011212516297262054,0.03150492264416327,0.09578860445912474,19.39,36.67,13.27
2018-03-22,-0.01959773078906646,0.011998909190073626,-0.02336096458176329,19.01,37.11,12.96
2018-03-23,-0.029721199368753393,-0.0037725680409593787,0.02083333333333326,18.445,36.97,13.23
2018-03-26,-0.024667931688804656,0.009737625101433611,0.028722600151171562,17.99,37.33,13.61
